2024-04-15 11:38:45,275 - ERROR - An error occurred during processing: 'int' object has no attribute 'lower'
2024-04-15 11:41:04,775 - INFO - New City Created with the deatils- name=nan, Mapped State ID=24, Remapped Country ID=US.
2024-04-15 11:41:05,966 - INFO - New City Created with the deatils- name=nan, Mapped State ID=22, Remapped Country ID=US.
2024-04-15 11:41:07,182 - INFO - New City Created with the deatils- name=Sidney, Mapped State ID=34, Remapped Country ID=US.
2024-04-15 11:41:08,374 - INFO - New City Created with the deatils- name=nan, Mapped State ID=26, Remapped Country ID=US.
2024-04-15 11:41:09,659 - INFO - New City Created with the deatils- name=Union, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:41:10,864 - INFO - New City Created with the deatils- name=Union, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:41:12,081 - INFO - New City Created with the deatils- name=Union, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:41:13,312 - INFO - New City Created with the deatils- name=Union, Mapped State ID=47, Remapped Country ID=US.
2024-04-15 11:41:14,466 - INFO - New City Created with the deatils- name=Union City, Mapped State ID=17, Remapped Country ID=US.
2024-04-15 11:41:15,572 - INFO - New City Created with the deatils- name=Union City, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:41:16,774 - INFO - New City Created with the deatils- name=Union City, Mapped State ID=49, Remapped Country ID=US.
2024-04-15 11:41:17,974 - INFO - New City Created with the deatils- name=Universal City, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:41:19,382 - INFO - New City Created with the deatils- name=University Heights, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:41:20,788 - INFO - New City Created with the deatils- name=University Park, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:41:22,131 - INFO - New City Created with the deatils- name=nan, Mapped State ID=37, Remapped Country ID=US.
2024-04-15 11:41:23,514 - INFO - New City Created with the deatils- name=Van Buren, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:41:24,778 - INFO - New City Created with the deatils- name=Venice, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:41:25,965 - INFO - New City Created with the deatils- name=Victor, Mapped State ID=19, Remapped Country ID=US.
2024-04-15 11:41:27,158 - INFO - New City Created with the deatils- name=Vienna, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:41:28,354 - INFO - New City Created with the deatils- name=Vienna, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:41:30,146 - INFO - New City Created with the deatils- name=Vienna, Mapped State ID=55, Remapped Country ID=US.
2024-04-15 11:41:31,271 - INFO - New City Created with the deatils- name=Virginia, Mapped State ID=30, Remapped Country ID=US.
